관리번호,분류,대표명,주소,경도,위도,사업장명,지번주소,도로명주소,
380,백화점,신세계백화점,서울특별시 중구 충무로1가,126.980987,37.5609337,신세계백화점,서울특별시 중구 충무로1가 52-5호 신세계백화점건물,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점건물)","X :126.980987, Y :37.5609337"
381,대형슈퍼,롯데슈퍼,서울특별시 동대문구 이문동,127.059312,37.5946543,롯데쇼핑(주) 롯데마켓 999 이문점,서울특별시 동대문구 이문동 324-10호,서울특별시 동대문구 이문로 88 (이문동),"X :127.059312, Y :37.5946543"
382,백화점,롯데백화점,서울특별시 동대문구 전농동,127.046973,37.5809647,롯데백화점 청량리역사점,서울특별시 동대문구 전농동 591-53호,서울특별시 동대문구 왕산로 214 (전농동),"X :127.046973, Y :37.5809647"
383,대형할인마트,롯데마트,서울특별시 영등포구 양평동3가,126.891626,37.526034,롯데쇼핑(주) 롯데마트 양평점,서울특별시 영등포구 양평동3가 45,서울특별시 영등포구 선유로 138 (양평동3가),"X :126.891626, Y :37.5260340"
384,백화점,뉴코아백화점,서울특별시 서초구 잠원동,127.006246,37.5087227,뉴코아백화점,서울특별시 서초구 잠원동 70-5호 뉴코아백화점빌딩,"서울특별시 서초구 잠원로 37-6 (잠원동, 뉴코아백화점빌딩)","X :127.006246, Y :37.5087227"
385,백화점,뉴코아백화점,서울특별시 서초구 잠원동,127.006868,37.5102273,(주)이랜드킴스클럽 강남점,서울특별시 서초구 잠원동 70-1,서울특별시 서초구 잠원로 69 (잠원동),"X :127.006868, Y :37.5102273"
386,대형슈퍼,롯데슈퍼,서울특별시 금천구 독산동,126.896809,37.4596259,롯데쇼핑(주) 금천 독산점,서울특별시 금천구 독산동 1155 금천롯데캐슬골드파크3차,"서울특별시 금천구 시흥대로 291(독산동, 금천롯데캐슬골드파크3차)","X :126.896809, Y :37.4596259"
387,대형슈퍼,롯데슈퍼,서울특별시 중구 신당동,127.007765,37.5494296,롯데쇼핑(주)롯데슈퍼신당점,서울특별시 중구 신당동 366-126,"서울특별시 중구 다산로 56, 제지2층 제비203호 (신당동, 남산정은스카이아파트)","X :127.007765, Y :37.5494296"
388,대형슈퍼,롯데슈퍼,서울특별시 마포구 대흥동,126.94021,37.5453775,롯데슈퍼 대흥점,서울특별시 마포구 대흥동 337-10,서울특별시 마포구 큰우물로 3 (대흥동),"X :126.940210, Y :37.5453775"
389,대형할인마트,롯데마트,서울특별시 중구 봉래동2가,126.969569,37.5581471,롯데쇼핑(주)롯데마트서울역점,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),"X :126.969569, Y :37.5581471"
390,대형슈퍼,롯데슈퍼,서울특별시 금천구 독산동,126.895697,37.4705812,롯데쇼핑(주) VIC 마켓 금천점,서울특별시 금천구 독산동 295-10호 외 5,서울특별시 금천구 두산로 71 (독산동),"X :126.895697, Y :37.4705812"
391,대형슈퍼,롯데슈퍼,서울특별시 영등포구 영등포동8가,126.904644,37.5277933,롯데쇼핑(주) VIC마켓 영등포점,서울특별시 영등포구 영등포동8가 62-1호,서울특별시 영등포구 영중로 125 (영등포동8가),"	X :126.904644, Y :37.5277933"
392,대형슈퍼,롯데슈퍼,서울특별시 관악구 보라매동,126.925035,37.4905249,롯데쇼핑(주) 관악점,서울특별시 관악구 보라매동 729호 22통 롯데백화점,서울특별시 봉천로 209,"X :126.925035, Y :37.4905249"
393,종합쇼핑몰,타임스퀘어,서울특별시 영등포구 영등포동4가,126.90554,37.5171533,(주)신세계 타임스퀘어점,서울특별시 영등포구 영등포동4가 434-5호 신세계백화점,"서울특별시 영등포구 영중로 9 (영등포동4가, 신세계백화점)","	X :126.905540, Y :37.5171533"
394,백화점,롯데백화점,서울특별시 중구 소공동,126.980941,37.5646458,롯데백화점 본점,서울특별시 중구 소공동 1,서울특별시 중구 남대문로 81 (소공동),"X :126.980941, Y :37.5646458"
395,대형슈퍼,롯데슈퍼,서울특별시 성북구 길음동,127.038822,37.604195,롯데마켓999 하월곡점,서울특별시 성북구 길음동 1285-7호,서울특별시 성북구 오패산로4길 17 (하월곡동),"	X :127.038822, Y :37.6041950"
396,대형슈퍼,롯데슈퍼,서울특별시 성북구 장위동,127.048245,37.6230222,롯데마이슈퍼 장위점,서울특별시 성북구 장위동 316-3호,서울특별시 성북구 월계로40길 7 (장위동),"X :127.048245, Y :37.6230222"
397,대형슈퍼,롯데슈퍼,서울특별시 성북구 정릉동,127.018245,37.6032987,롯데마이슈퍼 정릉점,서울특별시 성북구 정릉동 1034번지,서울특별시 성북구 정릉로 307 (정릉동),"X :127.018245, Y :37.6032987"
398,대형슈퍼,롯데슈퍼,서울특별시 은평구 역촌동,126.922437,37.6060846,롯데쇼핑(주) 롯데슈퍼 역촌점,서울특별시 은평구 역촌동 17-1호,서울특별시 은평구 진흥로 103 (역촌동),"X :126.922437, Y :37.6060846"
399,백화점,롯데백화점,서울특별시 광진구 자양동,127.071115,37.5387775,롯데백화점 건대스타시티점,서울특별시 광진구 자양동 227-342호 롯데백화점 스타시티점,서울특별시 광진구 능동로 92 (자양동),"X :127.071115, Y :37.5387775"
400,대형할인마트,롯데마트,서울특별시 광진구 구의동,127.095834,37.5356969,롯데쇼핑(주)롯데마트 강변점,서울특별시 광진구 구의동 546-4호,서울특별시 광진구 광나루로56길 85 (구의동),"X :127.095834, Y :37.5356969"
